1000013824 tokens | train_loss=3.8402 | val_loss=3.4482
2000027648 tokens | train_loss=2.9765 | val_loss=3.0621
3000041472 tokens | train_loss=2.8746 | val_loss=2.9365
4000055296 tokens | train_loss=2.8513 | val_loss=2.8949
5000003584 tokens | train_loss=2.7306 | val_loss=2.8664
6000017408 tokens | train_loss=2.6657 | val_loss=2.8160
7000031232 tokens | train_loss=2.8371 | val_loss=2.8134
8000045056 tokens | train_loss=2.9829 | val_loss=2.7757
9000058880 tokens | train_loss=2.8846 | val_loss=2.7477
10000007168 tokens | train_loss=2.5996 | val_loss=2.7564
11000020992 tokens | train_loss=2.7389 | val_loss=2.7422
12000034816 tokens | train_loss=2.6776 | val_loss=2.7388
13000048640 tokens | train_loss=2.7420 | val_loss=2.7333
14000062464 tokens | train_loss=2.8846 | val_loss=2.7273
15000010752 tokens | train_loss=2.8345 | val_loss=2.6931
16000024576 tokens | train_loss=2.9053 | val_loss=2.7148
17000038400 tokens | train_loss=2.8565 | val_loss=2.7117
18000052224 tokens | train_loss=2.6554 | val_loss=2.7407
19000000512 tokens | train_loss=2.7588 | val_loss=2.7203
20000014336 tokens | train_loss=2.8735 | val_loss=2.7057
21000028160 tokens | train_loss=2.5932 | val_loss=2.7115
22000041984 tokens | train_loss=2.6438 | val_loss=2.6979
23000055808 tokens | train_loss=2.6377 | val_loss=2.6836
24000004096 tokens | train_loss=2.6639 | val_loss=2.6687
25000017920 tokens | train_loss=2.5832 | val_loss=2.6917
26000031744 tokens | train_loss=2.5662 | val_loss=2.6883
27000045568 tokens | train_loss=2.8820 | val_loss=2.7023
28000059392 tokens | train_loss=2.7120 | val_loss=2.6954
29000007680 tokens | train_loss=2.6143 | val_loss=2.6928
30000021504 tokens | train_loss=2.7037 | val_loss=2.6730
31000035328 tokens | train_loss=2.5616 | val_loss=2.6817
32000049152 tokens | train_loss=2.8135 | val_loss=2.6651
33000062976 tokens | train_loss=2.6402 | val_loss=2.6555
34000011264 tokens | train_loss=2.5426 | val_loss=2.6604
35000025088 tokens | train_loss=2.6303 | val_loss=2.6538
36000038912 tokens | train_loss=2.7817 | val_loss=2.6512
37000052736 tokens | train_loss=2.7031 | val_loss=2.6648
38000001024 tokens | train_loss=2.3668 | val_loss=2.6700
39000014848 tokens | train_loss=2.8106 | val_loss=2.6570
40000028672 tokens | train_loss=2.5644 | val_loss=2.6495
41000042496 tokens | train_loss=2.7560 | val_loss=2.6317
42000056320 tokens | train_loss=2.6473 | val_loss=2.6558
43000004608 tokens | train_loss=2.6842 | val_loss=2.6430
44000018432 tokens | train_loss=2.7861 | val_loss=2.6495
45000032256 tokens | train_loss=2.4877 | val_loss=2.6466
46000046080 tokens | train_loss=2.5509 | val_loss=2.6290
47000059904 tokens | train_loss=2.6968 | val_loss=2.6283
48000008192 tokens | train_loss=2.6224 | val_loss=2.6196
49000022016 tokens | train_loss=2.7391 | val_loss=2.6315
50000035840 tokens | train_loss=2.3585 | val_loss=2.6512
51000049664 tokens | train_loss=2.7473 | val_loss=2.6225
52000063488 tokens | train_loss=2.8284 | val_loss=2.6215
53000011776 tokens | train_loss=2.6799 | val_loss=2.6394
54000025600 tokens | train_loss=2.7370 | val_loss=2.6162
55000039424 tokens | train_loss=2.7297 | val_loss=2.6362
56000053248 tokens | train_loss=2.6055 | val_loss=2.6255
57000001536 tokens | train_loss=2.6873 | val_loss=2.6254
58000015360 tokens | train_loss=2.4395 | val_loss=2.6133
59000029184 tokens | train_loss=2.5868 | val_loss=2.6080
60000043008 tokens | train_loss=2.8809 | val_loss=2.6065
61000056832 tokens | train_loss=2.5744 | val_loss=2.6155
62000005120 tokens | train_loss=2.5997 | val_loss=2.6045
63000018944 tokens | train_loss=2.4226 | val_loss=2.5790
64000032768 tokens | train_loss=2.5035 | val_loss=2.5934
65000046592 tokens | train_loss=2.5518 | val_loss=2.5574
66000060416 tokens | train_loss=2.7311 | val_loss=2.5844
67000008704 tokens | train_loss=2.5530 | val_loss=2.6063
68000022528 tokens | train_loss=2.5366 | val_loss=2.5584
69000036352 tokens | train_loss=2.5525 | val_loss=2.5913
70000050176 tokens | train_loss=2.7963 | val_loss=2.5863
71000064000 tokens | train_loss=2.7070 | val_loss=2.6086
72000012288 tokens | train_loss=2.5325 | val_loss=2.5861
